Name,Allocation1,Allocation2,Level
Cambridgeshire and Peterborough CA ,642429,1724250,Combined Authority
Greater Manchester CA ,3174000,15871250,Combined Authority
Liverpool City Region CA ,1974000,7896000,Combined Authority
London boroughs and TfL ,5000000,20000000,Combined Authority
North East JTC ,2262000,9049000,Combined Authority
Sheffield City Region CA ,1437000,5461550,Combined Authority
Tees Valley CA ,481542,1722000,Combined Authority
West Midlands ITA ,3850997,13097650,Combined Authority
West of England CA ,827895,2964000,Combined Authority
West Yorkshire CA ,2513000,10053000,Combined Authority
Bedford UA ,30250,363750,
Blackburn with Darwen UA ,77000,292600,
Blackpool UA ,26000,312000,
"Bournemouth, Christchurch and Poole UA ",312835,1062100,
Bracknell Forest UA ,57000,181800,
Brighton and Hove UA ,663657,2376000,
Buckinghamshire,513943,1748000,
Central Bedfordshire UA ,223454,600000,
Cheshire East UA ,155000,588050,
Cheshire West and Chester UA ,161000,611800,
Cornwall UA[footnote 1] ,152000,607000,
Cumbria,260323,886350,
Derby UA ,227923,776150,
Derbyshire,443000,1684350,
Devon,338000,1283450,
Dorset,128486,438900,
East Riding of Yorkshire UA ,123000,467400,
East Sussex,535171,1820200,
Essex,968500,7358700,
Gloucestershire,321773,864750,
Hampshire,863000,3280350,
"Herefordshire, County of UA ",20000,120000,
Hertfordshire,1247329,6451450,
Isle of Wight UA ,62000,235600,
Kent,1600000,6098050,
"Kingston upon Hull, City of UA ",272000,1035500,
Lancashire,782087,2801000,
Leicester UA ,405568,1378450,
Leicestershire,335180,900000,
Lincolnshire,105500,799900,
Luton UA ,216000,822700,
Medway UA ,242500,927000,
Milton Keynes UA ,228000,684750,
Norfolk,295500,1498150,
North East Lincolnshire UA ,42000,319200,
North Lincolnshire UA ,41000,154850,
North Somerset UA ,106140,473750,
North Yorkshire,133000,1011750,
Northamptonshire,351000,1332850,
Nottingham UA ,569806,2039000,
Nottinghamshire,263250,2178350,
Oxfordshire,298500,2985000,
Plymouth UA ,249000,945250,
Portsmouth UA ,214515,461400,
Reading UA ,221250,1179000,
Rutland UA ,2500,36100,
Shropshire UA ,86000,259500,
Slough UA ,205577,552000,
Somerset,120000,457900,
Southampton UA ,245000,1225000,
Southend-on-Sea UA ,309000,927000,
Staffordshire,183000,1832500,
Stoke-on-Trent UA ,126000,504750,
Suffolk,376519,1685000,
Surrey,848000,6445750,
Swindon UA ,214515,731500,
Telford and Wrekin UA ,76000,229500,
Thurrock UA ,288000,690000,
Torbay UA ,41250,132600,
Warrington UA ,130000,650000,
Warwickshire,129000,979450,
West Berkshire UA ,124000,495000,
West Sussex,781000,2351250,
Wiltshire UA ,227000,681000,
Windsor and Maidenhead UA ,140000,335400,
Wokingham UA ,76000,576650,
Worcestershire,135500,649200,
York UA ,193287,658350,
